customer_id,full_name,gender,date_of_birth,province,occupation,monthly_income,join_date,customer_segment
C00001,An Vũ,Female,1985-03-13,Nam Dinh,Engineer,11433117.0,2024-05-12,Mass
C00002,Chị Lan Trần,Female,1983-04-27,Bac Ninh,Bank Employee,20449677.24,2025-03-18,Mass
C00003,Khoa Bùi,Male,1993-05-20,Quang Ninh,Doctor,32625917.06,2024-01-17,Affluent
C00004,Ngọc Trần,Male,1972-12-12,Hue,Freelancer,15697615.24,2020-06-17,Mass
C00005,Chị Vân Hoàng,Other,1996-07-23,Nghe An,IT Specialist,14509486.33,2018-07-12,Mass
C00006,Vân Phạm,Female,1996-07-15,Ho Chi Minh City,Teacher,30436091.83,2022-09-26,Affluent
C00007,Lâm Mai Hoàng,Female,1988-03-20,Hue,Freelancer,60000000.0,2023-12-08,Premium
C00008,Nam Lê,Male,2007-12-20,Binh Duong,Office Staff,9856252.39,2019-04-15,Mass
C00009,Thành Đức Lê,Female,2001-12-30,Dong Nai,Business Owner,38460135.42,2021-10-25,Affluent
C00010,Bà Hương Trần,Male,2000-02-21,Quang Ninh,IT Specialist,7319926.99,2026-02-05,Mass
C00011,Hà Phú Đặng,Female,1974-05-26,Nghe An,Teacher,11088238.42,2019-03-12,Mass
C00012,Hưng Dương,Female,1990-05-04,Binh Duong,Bank Employee,7288113.87,2020-03-25,Mass
C00013,Kim Trần,Male,1996-07-11,Nghe An,Government Employee,36184282.46,2024-09-19,Affluent
C00014,Trọng Đặng,Male,2003-09-21,Hai Phong,Sales,39175731.75,2021-06-13,Affluent
C00015,Cô Ngọc Phạm,Male,1997-05-31,Ba Ria - Vung Tau,Freelancer,88987213.07,2018-12-17,Premium
C00016,Vũ Phạm,Female,1997-08-27,Dong Nai,Government Employee,61009617.57,2019-06-10,Affluent
C00017,Kim Vũ,Female,1990-12-26,Quang Ninh,Business Owner,8287164.11,2024-10-20,Mass
C00018,Bác Phúc Đặng,Male,1981-06-19,Ba Ria - Vung Tau,Government Employee,24266455.55,2025-09-26,Affluent
C00019,Trung Đức Trần,Male,1988-04-27,Hue,Bank Employee,6043734.44,2022-11-30,Mass
C00020,Chị Bảo Dương,Female,2005-02-10,Hai Phong,Doctor,12855967.27,2021-10-16,Mass
C00021,Hạnh Hải Đặng,Male,1981-12-26,Bac Ninh,Freelancer,12741769.68,2018-10-18,Mass
C00022,Mai Nguyễn,Female,1992-09-02,Bac Ninh,Engineer,31977001.87,2021-09-15,Affluent
C00023,Thành Đức Trần,Male,2007-05-31,Nam Dinh,Bank Employee,9327445.44,2024-01-18,Mass
C00024,Bà Mai Dương,Male,1995-12-14,Khanh Hoa,IT Specialist,17372689.93,2023-04-22,Mass
C00025,Hải Mai Lê,Female,1987-06-29,Hai Phong,Engineer,6474313.61,2021-12-22,Mass
C00026,Hoàng Phạm,Male,1987-02-07,Binh Duong,Student,10486910.41,2025-04-30,Mass
C00027,Nhiên Bùi,Female,1998-08-12,Ha Noi,Accountant,42049645.17,2019-03-24,Affluent
C00028,Thành Hải Lê,Male,1979-07-01,Nghe An,IT Specialist,16624120.64,2020-01-22,Mass
C00029,Ông Hưng Trần,Male,2000-05-26,Binh Duong,Engineer,10769115.03,2024-03-04,Mass
C00030,Chị Hải Bùi,Male,1986-11-05,Nghe An,Office Staff,147730288.59,2026-06-14,Premium
C00031,Kim Bùi,Female,1996-07-08,Hue,IT Specialist,11245027.24,2022-07-01,Mass
C00032,Bác Tùng Nguyễn,Female,2003-07-08,Hue,Office Staff,61972301.57,2020-12-22,Premium
C00033,Hải Mai,Female,1982-02-15,Nam Dinh,Accountant,19290073.94,2026-03-12,Mass
C00034,Dũng Trần,Other,1990-12-23,Ho Chi Minh City,Student,17049879.97,2020-02-17,Mass
C00035,Huy Lê,Male,1987-09-05,Khanh Hoa,Student,9574609.35,2026-05-22,Mass
C00036,Ông Anh Mai,Male,1987-09-09,Khanh Hoa,IT Specialist,20557368.64,2023-12-16,Mass
C00037,Cô Hải Vũ,Male,1991-01-16,Hai Phong,Teacher,20749702.92,2018-10-06,Mass
C00038,Chị Linh Lê,Female,2008-05-31,Hue,Engineer,138924578.86,2024-05-22,Premium
C00039,Duyên Đặng,Male,1989-12-03,Ha Noi,Freelancer,10807648.49,2025-05-16,Mass
C00040,Ông Tú Đặng,Female,1989-01-09,Da Nang,Business Owner,5985007.13,2026-01-12,Mass
C00041,Quang Nguyễn,Male,1993-05-20,Hue,Teacher,13597637.3,2021-05-13,Mass
C00042,Cô Hương Dương,Male,1974-08-31,Ha Noi,IT Specialist,10009274.1,2024-04-25,Mass
C00043,Phương Lê,Other,1999-08-25,Nghe An,Doctor,10067291.31,2019-06-27,Mass
C00044,Quý cô Phương Lê,Female,1980-08-31,Ba Ria - Vung Tau,Doctor,13463327.91,2019-10-09,Mass
C00045,Minh Hoàng,Male,1995-12-28,Can Tho,Business Owner,14361489.03,2025-05-02,Mass
C00046,Lâm Hoàng Vũ,Female,1988-10-27,Binh Duong,Government Employee,16842953.79,2025-06-10,Mass
C00047,Hải Phú Dương,Male,1998-07-25,Nam Dinh,Engineer,31723236.26,2026-04-29,Affluent
C00048,Ông Quang Phạm,Female,1995-05-16,Nam Dinh,Freelancer,7189893.92,2021-11-05,Mass
C00049,Thành Nguyễn,Male,1986-11-14,Binh Duong,Business Owner,13148083.35,2020-10-25,Mass
C00050,Chị Ngọc Trần,Female,1990-09-07,Hai Phong,Bank Employee,11054097.27,2021-02-07,Mass
C00051,Mai Trần,Male,2006-04-12,Dong Nai,Teacher,10357188.16,2020-12-08,Mass
C00052,Ánh Đặng,Male,1994-02-18,Nghe An,Student,9062179.06,2018-02-09,Mass
C00053,Phương Phạm,Male,1991-10-15,Ba Ria - Vung Tau,Teacher,13822869.76,2022-02-21,Mass
C00054,Châu Phạm,Female,1970-07-25,Hue,Teacher,12756091.02,2022-02-02,Mass
C00055,Quý cô Lâm Dương,Female,1988-09-13,Ba Ria - Vung Tau,Sales,11691365.52,2020-10-19,Mass
